"event_title","event_id","event_subtitle","event_type","event_desc","event_loc","event_start","event_end","exp_attendance","exp_participants","event_host","event_url","event_address","latitude","longitude"
"2018 Hillcrest Farmers' Market (Sundays)","49950","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!
","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2018-12-09 09:00:00","2018-12-09 14:00:00","2,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.7485423","-117.149901"
"Old Town Artisan's Market","50418","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-12-09 09:00:00","2018-12-09 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"Ray at Night (2nd Saturday Each Month)","50142","","FARMERS","On the second Saturday of each month, participating businesses, galleries, and shops on and around Ray Street are open late to offer a pleasant art walk experience. Patrons can shop in
style amid musical entertainment where there are open sidewalk booths. ","Ray Street between University Avenue & North Park Way","2018-12-08 18:00:00","2018-12-08 22:00:00","500","40","North Park for the Arts","www.northparkarts.org","Ray Street & University Avenue ","32.7447533","-117.1292257"
"City Heights Farmer's Market (Every Saturday)","50127","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop! ","Wightman Street between 43rd Street and Fairmont Avenue","2018-12-08 09:00:00","2018-12-08 13:00:00","500","100","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman & 43rd Streets","32.7477532","-117.0999832"
"Ocean Beach Town Council Craft Fair","50802","","FARMERS","Enjoy the OB Craft Fair put on by the OB Town Council each year leading up to the holidays.
Shop from local craft vendors and enjoy the beautiful oceanfront view. The holidays are right
around the corner! ","Veteran's Plaza and Lawn Area at Newport Avenue and Abbott Street","2018-12-08 09:00:00","2018-12-08 16:00:00","150","50","Ocean Beach Town Council","www.obtowncouncil.org","1900 Ocean Front Street","32.9646989","-117.2678836"
"Old Town Artisan's Market","50417","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-12-08 09:00:00","2018-12-08 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"The Mercato Little Italy's Farmers' Market","50025","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs,
flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The
Mercato also offers artisan foods and specialty items of all shapes and sizes.","W. Cedar St between Front St. and Kettner Blvd. for Phase I and transitioning to W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard for Phase II","2018-12-08 08:00:00","2018-12-08 14:00:00","1,500","400","Little Italy Association of San Diego","www.littleitalymercato.com","Cedar & Front Streets","32.7219778","-117.1615697"
"North Park Thursday Market","50075","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs,
artisan products, and craft vendors providing North Park residents and visitors with healthy
foods in a family oriented community gathering place. ","North Park Way between Granada Avenue and 30th
Street","2018-12-06 15:00:00","2018-12-06 19:30:00","900","70","North Park Main Street","www.northparkmarket.com","North Park Way & Granada Avenue ","32.7474103","-117.1266214"
"Ocean Beach Certified Farmer's Market (Wednesdays)","50209","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared
foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2018-12-05 16:00:00","2018-12-05 20:00:00","1,200","60","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Street","32.7431327","-117.2449981"
"Curbside Bites Food Truck Markets - Downtown Lunch","49829","","FARMERS","Every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve
lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you
like and it's quickly served. Anticipated Attendance: 300/day. Anticipated Participants: 25.
Location:"," B Street between India & Columbia Streets. ","2018-12-05 11:00:00","2018-12-05 14:00:00","300","30","Curbside Bites","www.curbsidebites.com","B & India Streets","32.715738","-117.1610838"
"Pacific Beach Tuesday Farmers' Market","50503","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place.","Bayard Street between Grand and Garnet Avenues","2018-12-04 14:00:00","2018-12-04 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.7999983","-117.254587"
"61st La Jolla Christmas Parade & Holiday Festival","50639","","PARADES","A wonderful Christmas parade lures people from all around to the sidewalks of La Jolla. You'll see floats, marching bands, community groups, drill teams, vintage vehicles, horses, and yes ~ a camel. Church bells peal with a fly-over. There is also a Holiday Festival and Tree Lighting Ceremony.","Parade: Girard Ave./Kline St. - Girard Ave. - Prospect St. - Draper St./Prospect St. Festival: La Jolla Recreation Center at 615 Prospect St.","2018-12-02 13:30:00","2018-12-02 17:00:00","6,000","1,000","La Jolla Christmas Parade & Holiday Festival","www.ljparade.com","615 Prospect Street","32.8433225","-117.2778663"
"Sunday Artisan Market","50584","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities. ","5th Avenue between Market Street and Island Avenue","2018-12-02 10:00:00","2018-12-02 15:00:00","3,000","20","Gaslamp Quarter Association","www.gaslamp.org","5th Avenue & Market Street","32.7313918","-117.1602848"
"2018 Hillcrest Farmers' Market (Sundays)","49949","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!
","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2018-12-02 09:00:00","2018-12-02 14:00:00","2,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.7485423","-117.149901"
"Old Town Artisan's Market","50416","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-12-02 09:00:00","2018-12-02 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"Girls on the Run 5K","50638","","ATHLETIC","Join in a 5K at Crown Point Park! Proceeds benefit Girls on the Run, a nonprofit organization dedicated to helping girls reach their potential.","Crown Point Park pathways","2018-12-02 07:30:00","2018-12-02 11:00:00","1,900","100","Girls on the Run San Diego","www.gotrsd.org","3500 Corona Oriente Road","32.7851118383","-117.233960543"
"City Heights Farmer's Market (Every Saturday)","50126","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop! ","Wightman Street between 43rd Street and Fairmont Avenue","2018-12-01 09:00:00","2018-12-01 13:00:00","500","100","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman & 43rd Streets","32.7477532","-117.0999832"
"Ocean Beach Town Council Craft Fair","50801","","FARMERS","Enjoy the OB Craft Fair put on by the OB Town Council each year leading up to the holidays.
Shop from local craft vendors and enjoy the beautiful oceanfront view. The holidays are right
around the corner! ","Veteran's Plaza and Lawn Area at Newport Avenue and Abbott Street","2018-12-01 09:00:00","2018-12-01 14:00:00","150","50","Ocean Beach Town Council","www.obtowncouncil.org","1900 Ocean Front Street","32.9646989","-117.2678836"
"Old Town Artisan's Market","50415","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-12-01 09:00:00","2018-12-01 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"The Mercato Little Italy's Farmers' Market","50024","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs,
flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The
Mercato also offers artisan foods and specialty items of all shapes and sizes.","W. Cedar St between Front St. and Kettner Blvd. for Phase I and transitioning to W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard for Phase II","2018-12-01 08:00:00","2018-12-01 14:00:00","1,500","400","Little Italy Association of San Diego","www.littleitalymercato.com","Cedar & Front Streets","32.7219778","-117.1615697"
"H2O San Diego 5K & 1 Mile Run/Walk","50443","","ATHLETIC","Join us for the annual H2O San Diego 5K Run & 1 Mile Fun Run! Besides having a BLAST with family and friends in our world-class city for all, the main purpose of this event is to contribute funds to the trailblazing Help to Others San Diego (H2O SD) Program. 
","De Anza Cove at 3000 North Mission Bay Drive in Mission Bay Park","2018-12-01 07:00:00","2018-12-01 10:00:00","500","50","City of San Diego Public Utilities Department","www.kathyloperevents.com/sandiegoevents","3000 North Mission Bay Drive ","32.7973922","-117.2141197"
"North Park Thursday Market","50074","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs,
artisan products, and craft vendors providing North Park residents and visitors with healthy
foods in a family oriented community gathering place. ","North Park Way between Granada Avenue and 30th
Street","2018-11-29 15:00:00","2018-11-29 19:30:00","900","70","North Park Main Street","www.northparkmarket.com","North Park Way & Granada Avenue ","32.7474103","-117.1266214"
"Ocean Beach Certified Farmer's Market (Wednesdays)","50208","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared
foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2018-11-28 16:00:00","2018-11-28 20:00:00","1,200","60","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Street","32.7431327","-117.2449981"
"Curbside Bites Food Truck Markets - Downtown Lunch","49828","","FARMERS","Every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve
lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you
like and it's quickly served. Anticipated Attendance: 300/day. Anticipated Participants: 25.
Location:"," B Street between India & Columbia Streets. ","2018-11-28 11:00:00","2018-11-28 14:00:00","300","30","Curbside Bites","www.curbsidebites.com","B & India Streets","32.715738","-117.1610838"
"Pacific Beach Tuesday Farmers' Market","50502","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place.","Bayard Street between Grand and Garnet Avenues","2018-11-27 14:00:00","2018-11-27 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.7999983","-117.254587"
"Sunday Artisan Market","50583","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities. ","5th Avenue between Market Street and Island Avenue","2018-11-25 10:00:00","2018-11-25 15:00:00","3,000","20","Gaslamp Quarter Association","www.gaslamp.org","5th Avenue & Market Street","32.7313918","-117.1602848"
"2018 Hillcrest Farmers' Market (Sundays)","49948","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!
","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2018-11-25 09:00:00","2018-11-25 14:00:00","2,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.7485423","-117.149901"
"Old Town Artisan's Market","50414","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-11-25 09:00:00","2018-11-25 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"Old Town Artisan's Market","50413","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-11-24 09:00:00","2018-11-24 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"Ocean Beach Town Council Craft Fair","50800","","FARMERS","Enjoy the OB Craft Fair put on by the OB Town Council each year leading up to the holidays.
Shop from local craft vendors and enjoy the beautiful oceanfront view. The holidays are right
around the corner! ","Veteran's Plaza and Lawn Area at Newport Avenue and Abbott Street","2018-11-24 09:00:00","2018-11-24 16:00:00","150","50","Ocean Beach Town Council","www.obtowncouncil.org","1900 Ocean Front Street","32.9646989","-117.2678836"
